comp|out|in|min|date|1>3000/null|1<3000/null|1<1500/null|1<500/null|1<250/null|1<100/null|2>null/15|2<null/15|2<null/7,5|2<null/3|2<null/1,5|2<null/0,5
ТрансТрек|Красноярск|Санкт-Петербург|700||16,1|16,39|16,68|16,96|17,25|17,83|3784|3851|3919|3986|4054|4189
ТрансТрек|Красноярск|Улан-Удэ|600||12,59|13,06|13,74|14,26|14,88|15,31|2896|3003|3160|3279|3423|3522
ТрансТрек|Красноярск|Уссурийск|1300||20,69|21,62|22,35|23,16|24|24,79|4552|4756|4917|5095|5280|5454
ТрансТрек|Красноярск|Хабаровск|900||19,07|19,69|20,41|21,1|21,93|22,69|4196|4332|4489|4642|4825|4992
ТрансТрек|Красноярск|Чита|600||14,29|14,91|15,48|15,77|16,6|17,18|3286|3430|3560|3627|3818|3952
ТрансТрек|Красноярск|Южно-Сахалинск|2100||30,6|31,62|32,64|33,66|34,68|35,7|8262|8537|8813|9088|9364|9639
ТрансТрек|Иркутск|Благовещенск|850||14,58|14,85|15,12|15,39|15,66|16,2|3062|3119|3175|3232|3289|3402
ТрансТрек|Иркутск|Владивосток|850||15,18|15,29|15,4|15,68|15,95|16,5|3340|3364|3388|3449|3509|3630
ТрансТрек|Иркутск|Екатеринбург|700||11,03|11,29|11,55|12,08|12,6|13,13|2536|2596|2657|2777|2898|3019
ТрансТрек|Иркутск|Красноярск|650||6,3|6,56|6,83|7,09|7,56|8,09|1764|1838|1911|1985|2025|2150
ТрансТрек|Иркутск|Магадан|2000||30,18|30,29|30,4|30,68|30,95|31,5|8300|8330|8360|8437|8511|8663
ТрансТрек|Иркутск|Москва|1700|8|13,5|13,77|14,04|14,31|14,58|15,12|2835|2892|2948|3005|3062|3175
ТрансТрек|Иркутск|Находка|950||16,68|16,96|17,25|17,54|17,83|18,4|3669|3732|3795|3858|3922|4048
ТрансТрек|Иркутск|Новосибирск|700||7,88|8,14|8,4|8,66|8,93|9,45|1851|1912|1974|2036|2097|2221
ТрансТрек|Иркутск|Петропавловск-Камчатский|1900||26,18|26,29|26,4|26,68|26,95|27,5|7200|7230|7260|7337|7411|7563
ТрансТрек|Иркутск|Санкт-Петербург|2200||18,38|18,64|19,43|19,95|20,48|21|3859|3914|4079|4190|4300|4410
ТрансТрек|Иркутск|Улан-Удэ|650||6,48|6,75|7,02|7,29|7,56|8,1|1490|1553|1615|1677|1739|1863
ТрансТрек|Иркутск|Уссурийск|950||16,1|16,39|16,68|16,96|17,25|17,83|3542|3605|3669|3732|3795|3922
ТрансТрек|Иркутск|Хабаровск|850||14,3|14,58|14,85|15,13|15,4|15,95|3146|3207|3267|3328|3388|3509
ТрансТрек|Иркутск|Чита|650||8,75|9,01|9,28|9,54|9,81|10,07|1968|2027|2087|2147|2206|2266
ТрансТрек|Иркутск|Южно-Сахалинск|1900||23,68|23,79|23,9|24,18|24,45|25|6796|6828|6859|6940|7017|7175
ТрансТрек|Владивосток|Астрахань|1200||33|33,28|33,55|34,1|34,65|35,75|8250|8319|8388|8525|8663|8938
ТрансТрек|Владивосток|Барнаул|1250||22,04|22,6|23,17|23,73|24,3|24,86|5509|5650|5791|5933|6074|6215
ТрансТрек|Владивосток|Белгород|1200||30,8|31,08|31,35|31,9|32,45|33,55|7700|7769|7838|7975|8113|8388
ТрансТрек|Владивосток|Белово***|1850||22,31|22,84|23,36|23,89|24,41|24,94|5578|5709|5841|5972|6103|6234
ТрансТрек|Владивосток|Бийск***|1850||22,31|22,84|23,36|23,89|24,41|24,94|5578|5709|5841|5972|6103|6234
ТрансТрек|Владивосток|Благовещенск|1200||11,03|11,29|11,55|11,81|12,08|12,6|2481|2540|2599|2658|2717|2835
ТрансТрек|Владивосток|Болотная***|1250||22,04|22,6|23,17|23,73|24,3|24,86|5509|5650|5791|5933|6074|6215
ТрансТрек|Владивосток|Волгоград|1200||31,5|31,76|32,03|32,55|32,87|33,6|7875|7941|8006|8138|8216|8400
ТрансТрек|Владивосток|Воронеж|1200||29,7|29,98|30,25|30,8|31,13|31,9|7425|7494|7563|7700|7783|7975
ТрансТрек|Владивосток|Гурьевск***|1850||22,31|22,84|23,36|23,89|24,41|24,94|5578|5709|5841|5972|6103|6234
ТрансТрек|Владивосток|Екатеринбург|750||16,97|17,26|17,55|17,84|18,18|18,72|3732|3797|3861|3925|3990|4118
ТрансТрек|Владивосток|Ижевск|1500||26,46|26,73|28,08|28,4|28,62|29,16|6615|6683|7020|7101|7155|7290
ТрансТрек|Владивосток|Иркутск|820||16,04|16,56|17,08|17,6|18,11|18,63|3930|4057|4184|4311|4438|4564
ТрансТрек|Владивосток|Йошкар-Ола|1500||30,25|30,53|30,8|31,13|31,35|31,9|7865|7937|8008|8094|8151|8294
ТрансТрек|Владивосток|Казань|1500||28,19|28,44|28,7|29,01|29,52|29,73|7047|7111|7175|7252|7380|7431
ТрансТрек|Владивосток|Кемерово|1250||22,43|23|23,58|24,15|24,73|25,3|5606|5750|5894|6038|6181|6325
ТрансТрек|Владивосток|Керчь|2000||43|43,25|43,5|44|44,3|45|10750|10815|10875|11000|11175|11250
ТрансТрек|Владивосток|Киров|1200||30,75|31,01|31,26|31,78|32,08|32,8|7688|7752|7816|7944|8021|8200
ТрансТрек|Владивосток|Киселевск***|1850||23,29|23,86|25,01|25,59|26,16|26,74|5822|5966|6253|6397|6541|6684
ТрансТрек|Владивосток|Краснодар|1200||31,26|31,52|31,78|32,29|32,6|33,31|7816|7880|7944|8072|8149|8328
ТрансТрек|Владивосток|Красноярск|920||18,53|19,08|19,62|20,17|20,71|21,26|4540|4673|4807|4940|5074|5207
ТрансТрек|Владивосток|Курган|1500||27,3|27,56|27,84|28,14|28,35|28,88|6825|6891|6956|7035|7088|7219
ТрансТрек|Владивосток|Курск|1200||31,36|31,64|31,92|32,48|32,82|33,6|7840|7910|7980|8120|8204|8400
ТрансТрек|Владивосток|Ленинск-Кузнецкий***|1850||22,74|23,27|23,81|24,34|24,88|25,41|5684|5818|5952|6086|6219|6353
ТрансТрек|Владивосток|Магнитогорск|1500||26,95|27,23|28,6|28,93|29,15|29,7|7007|7079|7436|7522|7579|7722
ТрансТрек|Владивосток|Москва|850|10|21,28|21,56|21,84|22,4|22,68|22,96|4894|4959|5023|5152|5216|5281
ТрансТрек|Владивосток|Нерюнгри|3000||27|28|29|30|31|32|5400|5600|5800|6000|6300|6400
ТрансТрек|Владивосток|Нижневартовск|1500||31,86|32,13|32,4|32,72|32,94|33,48|8284|8354|8424|8508|8564|8705
ТрансТрек|Владивосток|Нижний Новгород|1200||27,68|27,93|28,19|28,7|29,01|29,73|6919|6983|7047|7175|7252|7431
ТрансТрек|Владивосток|Новоалтайск***|1250||19,5|20|20,5|21|21,5|22|4150|4200|4250|4300|4370|4450
ТрансТрек|Владивосток|Новокузнецк|1850||22,31|22,84|23,63|23,89|24,41|24,94|5578|5709|5906|5972|6103|6234
ТрансТрек|Владивосток|Новороссийск|1200||33,08|33,86|34,13|34,65|35,7|36,75|8269|8466|8531|8663|8925|9188
ТрансТрек|Владивосток|Новосибирск|750||16,24|16,8|17,36|17,92|18,48|19,04|3898|4032|4166|4301|4435|4570
ТрансТрек|Владивосток|Омск|750||18,98|19,53|20,08|20,63|21,18|21,73|4175|4296|4417|4538|4659|4780
ТрансТрек|Владивосток|Орел|1200||28,35|28,61|28,88|29,4|30,45|31,5|7088|7153|7219|7350|7613|7875
ТрансТрек|Владивосток|Оренбург|1500||28,35|29,66|29,93|30,24|30,45|30,98|7371|7712|7781|7862|7917|8054
ТрансТрек|Владивосток|Пенза|1200||28,7|28,96|29,21|29,73|30,24|31,26|7175|7239|7303|7431|7559|7816
ТрансТрек|Владивосток|Пермь|1500||25,3|25,59|25,88|26,8|27,03|27,6|6578|6653|6728|6967|7027|7176
ТрансТрек|Владивосток|Прокопьевск***|1850||22,31|22,84|23,36|23,89|24,41|24,94|5578|5709|5841|5972|6103|6234
ТрансТрек|Владивосток|Промышленная***|1250||19,5|20|20,5|21|21,5|22|4150|4200|4250|4300|4370|4450
ТрансТрек|Владивосток|Ростов-на-Дону|1200||31,5|31,76|32,03|32,55|33,08|33,6|7875|7941|8006|8136|8269|8400
ТрансТрек|Владивосток|Салаир***|1850||22,31|22,84|23,36|23,89|24,41|24,94|5578|5709|5841|5972|6103|6234
ТрансТрек|Владивосток|Самара|1200||31,5|31,76|32,03|32,55|33,08|33,6|7875|7941|8006|8138|8269|8400
ТрансТрек|Владивосток|Санкт-Петербург|920||24,08|24,36|24,64|24,92|25,2|25,76|5538|5603|5667|5732|5796|5925
ТрансТрек|Владивосток|Саратов|1200||30,75|31,01|31,26|31,78|32,29|32,8|7688|7752|7816|7944|8072|8200
ТрансТрек|Владивосток|Севастополь|1200||37,53|37,76|38|38,95|39,9|40,85|9381|9441|9500|9738|9975|10213
ТрансТрек|Владивосток|Северск (до КПП)***|1250||19,5|20|20,5|21|21,5|22|4150|4200|4250|4300|4370|4450
ТрансТрек|Владивосток|Симферополь|1200||41,48|41,74|42|42,53|43,58|45,15|10369|10434|10500|10631|10894|11288
ТрансТрек|Владивосток|Сочи|1200||37,28|37,54|37,8|38,33|38,64|39,38|9319|9384|9450|9581|9660|9844
ТрансТрек|Владивосток|Ставрополь|1200||33|33,28|33,55|34,65|35,2|36,85|8250|8319|8388|8663|8800|9213
ТрансТрек|Владивосток|Сургут|1500||28,88|30,19|30,45|30,77|30,98|31,5|7508|7849|7917|7999|8054|8190
ТрансТрек|Владивосток|Тальменка***|1250||19,5|20|20,5|21|21,5|22|4150|4200|4250|4300|4370|4450
ТрансТрек|Владивосток|Томск|1250||22,43|23|23,58|24,15|24,73|25,3|5606|5750|5894|6038|6181|6325
ТрансТрек|Владивосток|Топки***|1250||19,5|20|20,5|21|21,5|22|4150|4200|4250|4300|4370|4450
ТрансТрек|Владивосток|Тюмень|750||19,32|19,88|20,44|21|21,56|22,12|4250|4374|4497|4620|4743|4866
ТрансТрек|Владивосток|Улан-Удэ|820||16,9|17,44|17,99|18,53|19,08|19,62|4139|4273|4406|4540|4673|4807
ТрансТрек|Владивосток|Уфа|1500||27,3|27,56|28,88|29,19|29,4|29,93|7098|7166|7508|5890|7644|7781
ТрансТрек|Владивосток|Хабаровск|650||6,83|7,35|7,61|7,88|8,14|8,4|1536|1654|1713|1772|1831|1890
ТрансТрек|Владивосток|Чебоксары|1500||28,19|28,44|28,7|29,01|29,21|29,73|7329|7395|7462|7542|7595|7729
ТрансТрек|Владивосток|Челябинск|1500||24,15|24,41|24,68|24,99|25,2|25,73|6279|6347|6416|6497|6552|6689
ТрансТрек|Владивосток|Чита|820||15,52|16,05|16,59|17,12|17,66|18,73|3801|3932|4063|4194|4325|4588
ТрансТрек|Владивосток|Юрга***|1250||19,5|20|20,5|21|21,5|22|4150|4200|4250|4300|4370|4450
ТрансТрек|Владивосток|Якутск|3500||29,68|30,74|31,8|32,86|33,92|34,98|6233|6455|6678|6901|7123|7346
