comp|out|in|min|date|1>3000/null|1>1500/null|1>500/null|1>150/null|1<150/null|2>null/12|2>null/6|2>null/2|2>null/0,6|2<null/0,6
ЖелдорЭксп|Москва|Вологда|490|4|9,23|9,42|9,61|9,9|10,65|2584|2638|2691|2772|2982
ЖелдорЭксп|Москва|Волхов|1300|4|15,59|15,91|16,24|16,74|18|4365|4455|4547|4687|5040
ЖелдорЭксп|Москва|Воркута|990|4|21,09|21,41|22,07|22,75|23,95|5905|5995|6180|6370|6706
ЖелдорЭксп|Москва|Воронеж|490|4|9,49|9,68|9,88|10,18|10,95|2657|2710|2766|2850|3066
ЖелдорЭксп|Москва|Воскресенск|490|4|8,97|9,15|9,34|9,63|10,35|2512|2562|2615|2696|2898
ЖелдорЭксп|Москва|Выкса|790|4|13,74|14,31|14,54|15,35|15,85|3847|4007|4071|4298|4438
ЖелдорЭксп|Москва|Вышний Волочек|790|4|16,86|17,1|18,32|21,12|28,69|4721|4788|5130|5914|8033
ЖелдорЭксп|Москва|Вязьма|790|4|8,97|9,15|9,34|9,63|10,35|2512|2562|2615|2696|2898
ЖелдорЭксп|Москва|Вятские Поляны|790|4|13,8|14,26|14,94|17,09|18,53|3864|3993|4183|4785|5188
ЖелдорЭксп|Москва|Глазов|690|4|19,63|19,87|20,11|20,49|21,45|5496|5564|5631|5737|6006
ЖелдорЭксп|Москва|Гомель|3190|4|10,93|15,23|22,53|39|49,83|3060|4264|6308|10920|13952
ЖелдорЭксп|Москва|Горно-Алтайск|890|4|26,63|27,46|27,89|29,42|31,03|7456|7689|7809|8238|8688
ЖелдорЭксп|Москва|Гродно|4540|4|10,23|16,03|22,93|44,3|52,93|2864|4488|6420|12404|14820
ЖелдорЭксп|Москва|Грозный|690|4|17,89|18,26|18,63|19,2|20,65|5009|5113|5216|5376|5782
ЖелдорЭксп|Москва|Губкинский|1090|4|28,88|29,41|29,95|30,7|31,9|8086|8235|8386|8596|8932
ЖелдорЭксп|Москва|Гусь-Хрустальный|790|4|11,54|12,57|13,6|14,52|14,98|3231|3520|3808|4066|4194
ЖелдорЭксп|Москва|Дальнегорск|1190|4|40,26|40,67|41,5|42,78|46|11273|11388|11620|11978|12880
ЖелдорЭксп|Москва|Дербент|1190|4|19,73|20,34|20,97|21,62|23|5524|5695|5872|6054|6440
ЖелдорЭксп|Москва|Димитровград|490|4|12,43|12,69|12,95|13,35|14,35|3480|3553|3626|3738|4018
ЖелдорЭксп|Москва|Донецк|890|4|19,59|20,08|20,59|21,23|22,59|5485|5622|5765|5944|6325
ЖелдорЭксп|Москва|Евпатория|890|4|24,69|24,93|25,18|25,57|26,55|6913|6980|7050|7160|7434
ЖелдорЭксп|Москва|Екатеринбург|590|4|13,56|13,84|14,12|14,55|15,65|3797|3875|3954|4074|4382
ЖелдорЭксп|Москва|Елец|790|8|11,37|11,72|12,08|12,46|13,25|3184|3282|3382|3489|3710
ЖелдорЭксп|Москва|Жезказган|1350|8|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Заводоуковск|890|8|17,3|17,44|18,35|19,58|20,35|4844|4883|5138|5482|5698
ЖелдорЭксп|Москва|Златоуст|690|8|13,3|13,57|13,85|14,28|15,35|3724|3800|3878|3998|4298
ЖелдорЭксп|Москва|Иваново|490|8|8,66|8,84|9,02|9,3|10|2425|2475|2526|2604|2800
ЖелдорЭксп|Москва|Ижевск|490|8|12,09|12,33|12,58|12,97|13,95|3385|3452|3522|3632|3906
ЖелдорЭксп|Москва|Избербаш|1190|8|19,73|20,34|20,97|21,62|23|5524|5695|5872|6054|6440
ЖелдорЭксп|Москва|Инта|1190|8|23,45|24,05|24,67|25,3|25,95|6566|6734|6908|7084|7266
ЖелдорЭксп|Москва|Иркутск|790|8|25,51|26,04|26,57|27,39|29,45|7143|7291|7440|7669|8246
ЖелдорЭксп|Москва|Ишим|890|2|18,38|18,57|18,94|19,53|21|5146|5200|5303|5468|5880
ЖелдорЭксп|Москва|Йошкар-Ола|490|2|11,26|11,49|11,73|12,09|13|3153|3217|3284|3385|3640
ЖелдорЭксп|Москва|Казань|490|2|11,03|11,25|11,48|11,96|13|3088|3150|3214|3349|3640
ЖелдорЭксп|Москва|Калининград|1550|7|22,1|23,75|25,95|26,5|26,5|6188|6650|7266|7420|7420
ЖелдорЭксп|Москва|Калуга|490|7|8,66|8,84|9,02|9,3|10|2425|2475|2526|2604|2800
ЖелдорЭксп|Москва|Каменск-Уральский|690|7|16,96|17,5|18,57|18,82|20,17|4749|4900|5200|5270|5648
ЖелдорЭксп|Москва|Каменск-Шахтинский|590|7|17,35|17,79|18,24|18,86|20,08|4858|4981|5107|5281|5622
ЖелдорЭксп|Москва|Камень-на-Оби|1090|7|23,63|23,87|24,36|25,11|27|6616|6684|6821|7031|7560
ЖелдорЭксп|Москва|Канаш|790|7|15,97|16,35|16,92|17,86|20,32|4472|4578|4738|5001|5690
ЖелдорЭксп|Москва|Канск|990|7|29,46|30,06|30,67|31,62|34|8249|8417|8588|8854|9520
ЖелдорЭксп|Москва|Караганда|550|7|27,86|29,06|29,56|30,26|30,26|7801|8137|8277|8473|8473
ЖелдорЭксп|Москва|Карасук|1090|7|23,63|23,87|24,36|25,11|27|6616|6684|6821|7031|7560
ЖелдорЭксп|Москва|Каргополь|1090|7|31,55|31,9|32,25|32,62|33,4|8834|8932|9030|9134|9352
ЖелдорЭксп|Москва|Кемерово|690|7|20,79|21,22|21,65|22,55|24,25|5821|5942|6062|6314|6790
ЖелдорЭксп|Москва|Керчь|690|7|24,69|24,93|25,18|25,57|26,55|6913|6980|7050|7160|7434
ЖелдорЭксп|Москва|Кинешма|490|7|10,7|10,92|11,14|11,49|12,35|2996|3058|3119|3217|3458
ЖелдорЭксп|Москва|Кириши|1300|7|12,39|13,62|15,35|17,1|19,35|3469|3814|4298|4788|5418
ЖелдорЭксп|Москва|Киров|490|7|12,22|12,47|12,72|13,11|13,95|3422|3492|3562|3671|3906
ЖелдорЭксп|Москва|Киселевск|790|7|23,63|23,87|24,36|25,11|27|6616|6684|6821|7031|7560
ЖелдорЭксп|Москва|Клин|490|7|8,97|9,15|9,34|9,63|10,35|2512|2562|2615|2696|2898
ЖелдорЭксп|Москва|Клинцы|690|7|15,59|15,91|16,24|16,74|18|4365|4455|4547|4687|5040
ЖелдорЭксп|Москва|Кокшетау|1350|7|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Колпашево|1090|7|26,44|27|27,58|28,38|29,65|7403|7560|7722|7946|8302
ЖелдорЭксп|Москва|Комсомольск-на-Амуре|990|7|32,71|33,37|34,05|35,11|37,75|9159|9344|9534|9831|10570
ЖелдорЭксп|Москва|Кострома|490|7|9,14|9,33|9,52|9,81|10,55|2559|2612|2666|2747|2954
ЖелдорЭксп|Москва|Котлас|690|7|19,44|19,7|19,87|20,32|20,8|5443|5516|5564|5690|5824
ЖелдорЭксп|Москва|Краснодар|490|7|12,87|13,13|13,4|13,81|14,85|3604|3676|3752|3867|4158
ЖелдорЭксп|Москва|Краснотурьинск|890|7|19,07|19,26|19,86|20,9|22|5340|5393|5561|5852|6160
ЖелдорЭксп|Москва|Красноярск|790|7|22,4|22,85|23,32|24,04|25,85|6272|6398|6530|6731|7238
ЖелдорЭксп|Москва|Кропоткин|590|1|13,86|14,14|14,43|14,88|16|3881|3959|4040|4166|4480
ЖелдорЭксп|Москва|Куйбышев|1090|1|23,63|23,87|24,36|25,11|27|6616|6684|6821|7031|7560
ЖелдорЭксп|Москва|Кумертау|890|1|15,59|15,91|16,24|16,74|18|4365|4455|4547|4687|5040
ЖелдорЭксп|Москва|Кунгур|790|1|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Курган|590|1|16,33|16,66|17|17,53|18,85|4572|4665|4760|4908|5278
ЖелдорЭксп|Москва|Курск|490|1|9,79|9,99|10,19|10,51|11,3|2741|2797|2853|2943|3164
ЖелдорЭксп|Москва|Кызыл|990|1|30,32|30,94|31,57|32,55|35|8490|8663|8840|9114|9800
ЖелдорЭксп|Москва|Кызылорда|1750|1|48,39|49,46|51,84|53,21|54,29|13549|13849|14515|14899|15201
ЖелдорЭксп|Москва|Лабинск|790|1|19,43|19,68|19,93|20,32|21,3|5440|5510|5580|5690|5964
ЖелдорЭксп|Москва|Лабытнанги|1550|1|24,84|25,6|26,4|27,21|28,95|6955|7168|7392|7619|8106
ЖелдорЭксп|Москва|Лангепас|890|1|20,19|21,11|25,71|28,22|30,65|5653|5911|7199|7902|8582
ЖелдорЭксп|Москва|Ленинск-Кузнецкий|790|1|20,59|21,23|21,88|22,56|24|5765|5944|6126|6317|6720
ЖелдорЭксп|Москва|Лесосибирск|1090|1|27,72|28,29|28,87|29,76|32|7762|7921|8084|8333|8960
ЖелдорЭксп|Москва|Липецк|490|1|9,31|9,5|9,7|10|10,75|2607|2660|2716|2800|3010
ЖелдорЭксп|Москва|Лиски|790|1|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Людиново|790|1|13,91|14,14|14,38|14,79|15,23|3895|3959|4026|4141|4264
ЖелдорЭксп|Москва|Магадан|1390|1|45,42|46,35|47,3|48,76|53|14534|14832|15136|15603|16960
ЖелдорЭксп|Москва|Магнитогорск|590|1|13,86|14,14|14,43|14,88|16|3881|3959|4040|4166|4480
ЖелдорЭксп|Москва|Майкоп|590|1|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Махачкала|690|1|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Междуреченск|1090|1|23,63|23,87|24,36|25,11|27|6616|6684|6821|7031|7560
ЖелдорЭксп|Москва|Миасс|590|1|15,59|15,91|16,24|16,74|18|4365|4455|4547|4687|5040
ЖелдорЭксп|Москва|Минск|2740|1|7,83|11,53|18,03|33,3|43,03|2192|3228|5048|9324|12048
ЖелдорЭксп|Москва|Мирный, Арх обл|1090|1|28,55|28,9|29,25|29,62|30,4|7994|8092|8190|8294|8512
ЖелдорЭксп|Москва|Мирный, Респ Саха (Якутия)|3250|1|99,5|99,5|99,5|99,5|99,5|28855|28855|28855|28855|28855
ЖелдорЭксп|Москва|Михайловка|790|1|16,76|17,11|17,46|18|19,35|4693|4791|4889|5040|5418
ЖелдорЭксп|Москва|Мичуринск|790|1|12,61|12,86|13,13|13,53|14,55|3531|3601|3676|3788|4074
ЖелдорЭксп|Москва|Москва|290|1|4,6|4,6|4,6|4,6|4,6|1288|1288|1288|1288|1288
ЖелдорЭксп|Москва|Мурманск|590|1|13,86|14,14|14,43|14,88|16|3881|3959|4040|4166|4480
ЖелдорЭксп|Москва|Муром|490|1|9,19|9,48|9,77|10,07|10,95|2573|2654|2736|2820|3066
ЖелдорЭксп|Москва|Мценск|790|1|11,09|11,41|11,9|12,6|13,45|3105|3195|3332|3528|3766
ЖелдорЭксп|Москва|Набережные Челны|490|1|10,4|10,61|10,83|11,16|12|2912|2971|3032|3125|3360
ЖелдорЭксп|Москва|Надым|1090|1|32,93|33,43|34,63|36,13|37,73|9220|9360|9696|10116|10564
ЖелдорЭксп|Москва|Назрань|990|1|20,87|21,38|22,74|24,41|25,22|5844|5986|6367|6835|7062
ЖелдорЭксп|Москва|Нальчик|490|1|13|13,26|13,53|13,95|15|3640|3713|3788|3906|4200
ЖелдорЭксп|Москва|Наро-Фоминск|790|1|8,58|8,84|9,12|9,4|10|2402|2475|2554|2632|2800
ЖелдорЭксп|Москва|Нарьян-Мар|2300|1|46,5|46,5|46,5|46,5|46,5|13020|13020|13020|13020|13020
ЖелдорЭксп|Москва|Находка|1290|1|34,66|35,36|36,08|37,2|40|9705|9901|10102|10416|11200
ЖелдорЭксп|Москва|Невинномысск|490|1|12,35|12,6|12,85|13,25|14,25|3458|3528|3598|3710|3990
ЖелдорЭксп|Москва|Нерюнгри|1700|1|38,12|38,9|39,69|40,92|44|10674|10892|11113|11458|12320
ЖелдорЭксп|Москва|Нефтекамск|790|1|11,26|11,49|11,73|12,09|13|3153|3217|3284|3385|3640
ЖелдорЭксп|Москва|Нижневартовск|690|1|21,66|22,1|22,55|23,25|25|6065|6188|6314|6510|7000
ЖелдорЭксп|Москва|Нижний Новгород|490|1|9,05|9,24|9,43|9,72|10,45|2534|2587|2640|2722|2926
ЖелдорЭксп|Москва|Нижний Тагил|590|1|14,6|14,9|15,2|15,67|16,85|4088|4172|4256|4388|4718
ЖелдорЭксп|Москва|Новая Чара|2150|1|46,14|47,57|49,04|50,55|54,95|12919|13320|13731|14154|15386
ЖелдорЭксп|Москва|Новозыбков|790|1|17,33|17,68|18,04|18,6|20|4852|4950|5051|5208|5600
ЖелдорЭксп|Москва|Новокузнецк|690|1|20,44|20,64|21,06|21,72|23,35|5723|5779|5897|6082|6538
ЖелдорЭксп|Москва|Новороссийск|490|1|12,43|12,69|12,95|13,35|14,35|3480|3553|3626|3738|4018
ЖелдорЭксп|Москва|Новосибирск|690|1|19,12|19,32|19,71|20,32|21,85|5354|5410|5519|5690|6118
ЖелдорЭксп|Москва|Новый Уренгой|1090|1|24,26|24,75|25,26|26,04|28|6793|6930|7073|7291|7840
ЖелдорЭксп|Москва|Норильск (авиа)|13330|1|404,9|404,9|404,9|404,9|404,9|67618|67618|67618|67618|67618
ЖелдорЭксп|Москва|Ноябрьск|690|1|21,66|22,1|22,55|23,25|25|6065|6188|6314|6510|7000
ЖелдорЭксп|Москва|Нур-Султан|1350|1|37,69|39,96|40,46|41,59|42,44|10553|11189|11329|11645|11883
ЖелдорЭксп|Москва|Нурлат|990|1|19,75|20,41|21,1|21,91|23,02|5530|5715|5908|6135|6446
ЖелдорЭксп|Москва|Обнинск|490|1|7,88|7,96|8,12|8,37|9|2206|2229|2274|2344|2520
ЖелдорЭксп|Москва|Озерск|790|1|16,16|16,49|16,82|17,34|18,65|4525|4617|4710|4855|5222
ЖелдорЭксп|Москва|Омск|690|3|18,5|18,87|19,26|19,86|21,35|5180|5284|5393|5561|5978
ЖелдорЭксп|Москва|Онега|1090|3|31,55|31,9|32,25|32,62|33,4|8834|8932|9030|9134|9352
ЖелдорЭксп|Москва|Орел|490|3|9,23|9,42|9,61|9,9|10,65|2584|2638|2691|2772|2982
ЖелдорЭксп|Москва|Оренбург|490|3|12,61|12,86|13,13|13,53|14,55|3531|3601|3676|3788|4074
ЖелдорЭксп|Москва|Орск|590|3|14,17|14,45|14,75|15,21|16,35|3968|4046|4130|4259|4578
ЖелдорЭксп|Москва|Павлодар|1350|3|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Пангоды|990|3|31,58|32,34|33,3|34,8|36,4|8842|9055|9324|9744|10192
ЖелдорЭксп|Москва|Пенза|490|3|9,83|10,03|10,24|10,56|11,35|2752|2808|2867|2957|3178
ЖелдорЭксп|Москва|Пермь|490|3|12,78|13,04|13,31|13,72|14,75|3578|3651|3727|3842|4130
ЖелдорЭксп|Москва|Петрозаводск|490|3|10,4|10,61|10,83|11,16|12|2912|2971|3032|3125|3360
ЖелдорЭксп|Москва|Петропавловск|1350|3|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Петропавловск-Камчатский|1290|3|41,51|42,36|43,23|45,5|50|13283|13555|13834|14560|16000
ЖелдорЭксп|Москва|Пикалево|1550|3|13,39|15,62|16,85|19,1|21,35|3749|4374|4718|5348|5978
ЖелдорЭксп|Москва|Плесецк|890|3|24,15|24,5|24,85|25,22|26|6762|6860|6958|7062|7280
ЖелдорЭксп|Москва|Прокопьевск*|790|3|19,73|20,34|20,97|21,62|23|5524|5695|5872|6054|6440
ЖелдорЭксп|Москва|Псков|490|3|10,79|11,01|11,23|11,58|12,45|3021|3083|3144|3242|3486
ЖелдорЭксп|Москва|Пятигорск|490|3|11,83|12,07|12,31|12,69|13,65|3312|3380|3447|3553|3822
ЖелдорЭксп|Москва|Ростов-на-Дону|490|3|12,09|12,33|12,58|12,97|13,95|3385|3452|3522|3632|3906
ЖелдорЭксп|Москва|Рубцовск|790|3|21,88|22,32|22,78|23,48|25,25|6126|6250|6378|6574|7070
ЖелдорЭксп|Москва|Рыбинск|490|3|9,53|9,72|9,92|10,23|11|2668|2722|2778|2864|3080
ЖелдорЭксп|Москва|Рязань|490|3|9,14|9,33|9,52|9,81|10,55|2559|2612|2666|2747|2954
ЖелдорЭксп|Москва|Салават|590|3|15,59|15,91|16,24|16,74|18|4365|4455|4547|4687|5040
ЖелдорЭксп|Москва|Салехард|1700|3|34,27|35,33|36,43|37,55|39,95|9596|9892|10200|10514|11186
ЖелдорЭксп|Москва|Самара|490|1|11,91|12,16|12,4|12,79|13,75|3335|3405|3472|3581|3850
ЖелдорЭксп|Москва|Санкт-Петербург|490|1|8,45|8,62|8,8|9,07|9,75|2366|2414|2464|2540|2730
ЖелдорЭксп|Москва|Саранск|490|1|10,27|10,48|10,69|11,02|11,85|2876|2934|2993|3086|3318
ЖелдорЭксп|Москва|Сарапул|690|1|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Саратов|490|1|11,26|11,49|11,73|12,09|13|3153|3217|3284|3385|3640
ЖелдорЭксп|Москва|Саянск|990|1|29,93|30,54|31,17|32,13|34,55|8380|8551|8728|8996|9674
ЖелдорЭксп|Москва|Свободный|1190|1|38,51|38,9|39,69|40,92|44|10783|10892|11113|11458|12320
ЖелдорЭксп|Москва|Севастополь|690|1|24,69|24,93|25,18|25,57|26,55|6913|6980|7050|7160|7434
ЖелдорЭксп|Москва|Северобайкальск|1850|1|42|42,85|43,73|44,62|46|11760|11998|12244|12494|12880
ЖелдорЭксп|Москва|Северодвинск|490|1|18,23|18,49|18,75|19,15|20,15|5104|5177|5250|5362|5642
ЖелдорЭксп|Москва|Североуральск|890|1|19,07|19,26|19,86|20,9|22|5340|5393|5561|5852|6160
ЖелдорЭксп|Москва|Семей|1350|1|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Серов|890|1|17,34|17,88|18,43|19|20|4855|5006|5160|5320|5600
ЖелдорЭксп|Москва|Симферополь|690|1|24,69|24,93|25,18|25,57|26,55|6913|6980|7050|7160|7434
ЖелдорЭксп|Москва|Славянск-на-Кубани|590|1|14,58|15,04|15,5|15,98|17|4082|4211|4340|4474|4760
ЖелдорЭксп|Москва|Смоленск|490|1|9,4|9,59|9,79|10,09|10,85|2632|2685|2741|2825|3038
ЖелдорЭксп|Москва|Советский|890|1|19,07|19,26|19,86|20,9|22|5340|5393|5561|5852|6160
ЖелдорЭксп|Москва|Соликамск|890|1|20,74|21,44|22,23|22,63|23,89|5807|6003|6224|6336|6689
ЖелдорЭксп|Москва|Сорочинск|690|1|16,9|17,01|17,33|17,9|18,5|4732|4763|4852|5012|5180
ЖелдорЭксп|Москва|Сочи|690|1|17,33|17,68|18,04|18,6|20|4852|4950|5051|5208|5600
ЖелдорЭксп|Москва|Ставрополь|490|1|12,69|12,95|13,22|13,62|14,65|3553|3626|3702|3814|4102
ЖелдорЭксп|Москва|Старый Оскол|490|1|10,4|10,61|10,83|11,16|12|2912|2971|3032|3125|3360
ЖелдорЭксп|Москва|Стерлитамак|490|1|13,65|13,92|14,21|14,65|15,75|3822|3898|3979|4102|4410
ЖелдорЭксп|Москва|Сургут|690|1|20,58|21|21,42|22,09|23,75|5762|5880|5998|6185|6650
ЖелдорЭксп|Москва|Сызрань|490|1|10,4|10,61|10,83|11,16|12|2912|2971|3032|3125|3360
ЖелдорЭксп|Москва|Сыктывкар|490|1|13|13,26|13,53|13,95|15|3640|3713|3788|3906|4200
ЖелдорЭксп|Москва|Таганрог|490|1|12,13|12,38|12,76|13,02|14|3396|3466|3573|3646|3920
ЖелдорЭксп|Москва|Таксимо|2150|1|46,14|47,57|49,04|50,55|54,95|12919|13320|13731|14154|15386
ЖелдорЭксп|Москва|Талдыкорган|1750|1|48,39|49,46|51,84|53,21|54,29|13549|13849|14515|14899|15201
ЖелдорЭксп|Москва|Тамбов|490|1|9,53|9,72|9,92|10,23|11|2668|2722|2778|2864|3080
ЖелдорЭксп|Москва|Тараз|1750|1|42,82|43,87|46,21|47,48|47,48|11990|12284|12939|13294|13294
ЖелдорЭксп|Москва|Таштагол|1190|1|25,22|25,49|25,77|26,86|28,12|7062|7137|7216|7521|7874
ЖелдорЭксп|Москва|Тверь|490|1|8,88|9,06|9,25|9,53|10,25|2486|2537|2590|2668|2870
ЖелдорЭксп|Москва|Тихвин|1300|1|12,39|13,62|15,35|17,1|19,35|3469|3814|4298|4788|5418
ЖелдорЭксп|Москва|Тихорецк|590|1|14,58|15,04|15,5|15,98|17|4082|4211|4340|4474|4760
ЖелдорЭксп|Москва|Тобольск|690|1|15,59|15,91|16,24|16,74|18|4365|4455|4547|4687|5040
ЖелдорЭксп|Москва|Тольятти|490|1|11,26|11,49|11,73|12,09|13|3153|3217|3284|3385|3640
ЖелдорЭксп|Москва|Томск|690|1|20,58|21|21,43|22,32|24|5762|5880|6000|6250|6720
ЖелдорЭксп|Москва|Тула|490|1|8,45|8,62|8,8|9,07|9,75|2366|2414|2464|2540|2730
ЖелдорЭксп|Москва|Тулун|990|1|31,68|32,21|32,74|33,56|35,62|8870|9019|9167|9397|9974
ЖелдорЭксп|Москва|Туркестан|1750|1|48,39|49,46|51,84|53,21|54,29|13549|13849|14515|14899|15201
ЖелдорЭксп|Москва|Тюмень|590|1|15,2|15,52|15,83|16,32|17,55|4256|4346|4432|4570|4914
ЖелдорЭксп|Москва|Удомля|790|1|18,88|19,12|20,47|22,84|31,35|5286|5354|5732|6395|8778
ЖелдорЭксп|Москва|Улан-Удэ|890|1|27,72|28,29|28,87|29,76|32|7762|7921|8084|8333|8960
ЖелдорЭксп|Москва|Ульяновск|490|1|10,18|10,39|10,6|10,93|11,75|2850|2909|2968|3060|3290
ЖелдорЭксп|Москва|Урюпинск|790|1|16,76|17,11|17,46|18|19,35|4693|4791|4889|5040|5418
ЖелдорЭксп|Москва|Усинск|1700|1|43,12|43,12|43,12|43,12|43,12|12074|12074|12074|12074|12074
ЖелдорЭксп|Москва|Усолье-Сибирское|990|1|29,93|30,54|31,17|32,13|34,55|8380|8551|8728|8996|9674
