comp|out|in|date|min|1>3000/null|1<3000/null|1<1500/null|1<800/null|1<300/null|1<100/null|2>null/15|2<null/15|2<null/7,5|2<null/4|2<null/1,5|2<null/0,5
ЖельдорАльянс|Москва|Владимир|2|520|8,35|8,35|8,35|8,35|8,35|8,35|2089,7|2089,7|2089,7|2089,7|2089,7|2089,7
ЖельдорАльянс|Москва|Волгоград|3|740|12,41|12,41|12,41|12,41|12,41|12,41|3102,5|3102,5|3102,5|3102,5|3102,5|3102,5
ЖельдорАльянс|Москва|Волжск|2|510|12,31|12,99|13,19|13,46|13,66|13,81|2893|3053|3099|3164|3211|3244
ЖельдорАльянс|Москва|Волжский|3|837|11,96|11,96|11,96|11,96|11,96|11,96|2990|2990|2990|2990|2990|2990
ЖельдорАльянс|Москва|Вологда|2|600|9,6|9,6|9,6|9,6|9,6|9,6|2401,7|2401,7|2401,7|2401,7|2401,7|2401,7
ЖельдорАльянс|Москва|Воркута|3|2400|30,55|30,55|31,2|31,85|33,2|33,2|6721|6721|6864|7007|7304|7304
ЖельдорАльянс|Москва|Воронеж|2|760|9,58|9,58|9,58|9,58|9,58|9,58|2395,25|2395,25|2395,25|2395,25|2395,25|2395,25
ЖельдорАльянс|Москва|Геленджик|3|850|15,99|16,8|17,6|18,41|19,55|20,49|3996,4|4199,83|4400,68|4601,53|4887,35|5121,68
ЖельдорАльянс|Москва|Глазов|5|1050|16,87|16,87|16,87|16,87|16,87|16,87|4218,5|4218,5|4218,5|4218,5|4218,5|4218,5
ЖельдорАльянс|Москва|Грозный|2|430|9,43|9,67|9,91|10,4|10,4|10,88|2357,55|2418|2478,45|2599,35|2599,35|2720,25
ЖельдорАльянс|Москва|Дербент|2|550|10,16|10,88|11,49|12,21|12,21|12,69|2538,9|2720,25|2871,38|3052,73|3052,73|3173,63
ЖельдорАльянс|Москва|Екатеринбург|3|480|12,94|13,26|13,6|14,24|14,89|15,66|3234,2|3314,03|3399|3561,23|3723,45|3914
ЖельдорАльянс|Москва|Зима|6|450|19,2|19,86|20,63|20,86|21,15|21,35|3841|3972|4127|4173|4230|4270
ЖельдорАльянс|Москва|Иваново|2|681|8,1|8,1|8,1|8,1|8,1|8,1|2025|2025|2025|2025|2025|2025
ЖельдорАльянс|Москва|Ижевск|2|480|11,98|12,2|12,54|13,08|13,52|13,75|2994,73|3048,8|3133,78|3270,25|3380,98|3437,63
ЖельдорАльянс|Москва|Инта|3|2400|31,85|31,85|32,5|33,15|34,45|34,45|7007|7007|7150|7293|7579|7579
ЖельдорАльянс|Москва|Иркутск|8|480|24,5|25,16|25,61|26,5|27,6|28,27|6125,93|6290,73|6401,45|6625,48|6901|7068,38
ЖельдорАльянс|Москва|Йошкар-Ола|8|956,8|14,53|14,53|14,53|14,53|14,53|14,53|3633,5|3633,5|3633,5|3633,5|3633,5|3633,5
ЖельдорАльянс|Москва|Казань|1|480|9,76|10,08|10,64|10,86|11,2|12,09|2441,1|2520,93|2659,98|2714,05|2799,03|3023,05
ЖельдорАльянс|Москва|Калининград|7|1400|20|22,6|23,8|24,8|25,6|25,6|5000|5650|5950|6200|6400|6400
ЖельдорАльянс|Москва|Калининград (первая ускоренная грузовая)|23|1650|37,81|39,81|41,81|43,15|44,33|44,48|9453,33|9953,33|10453,33|10786,67|11082,5|11120
ЖельдорАльянс|Москва|Калуга|2|600|9,5|9,5|9,5|9,5|9,5|9,5|2375|2375|2375|2375|2375|2375
ЖельдорАльянс|Москва|Качканар|0|1000|13,2|14,4|16,2|17,16|19,2|20,4|2640|2880|3240|3432|3840|4080
ЖельдорАльянс|Москва|Кемерово|6|480|19,85|20,4|20,95|21,51|22,29|23,06|4962,03|5101,08|5237,55|5376,6|5572,3|5765,43
ЖельдорАльянс|Москва|Киров|6|956|15,78|15,78|15,78|15,78|15,78|15,78|3945,5|3945,5|3945,5|3945,5|3945,5|3945,5
ЖельдорАльянс|Москва|Когалым|4|800|19,34|19,71|20,19|20,55|20,55|21,4|4836|4926,68|5047,58|5138,25|5138,25|5349,83
ЖельдорАльянс|Москва|Комсомольск-на-Амуре|11|690|38,21|39,14|40,93|41,14|41,79|42,36|9553,25|9785|10233,05|10284,55|10446,78|10590,98
ЖельдорАльянс|Москва|Комсомольск-на-Амуре ( первая ускоренная грузовая)|18|650|17,27|17,6|19,93|20,26|20,59|20,92|4835,6|4928|5580,4|5672,8|5765,2|5857,6
ЖельдорАльянс|Москва|Кострома|2|598|9,11|9,11|9,11|9,11|9,11|9,11|2277,5|2277,5|2277,5|2277,5|2277,5|2277,5
ЖельдорАльянс|Москва|Краснодар|2|480|11,98|12,31|12,64|12,97|13,65|14,08|2994,73|3077,13|3159,53|3241,93|3411,88|3520,03
ЖельдорАльянс|Москва|Красноярск|7|420|21,39|21,72|22,39|23,06|24,17|24,83|5348,28|5430,68|5598,05|5765,43|6043,53|6208,33
ЖельдорАльянс|Москва|Курган|3|1079|17,68|17,68|17,68|17,68|17,68|17,68|4420|4420|4420|4420|4420|4420
ЖельдорАльянс|Москва|Курск|3|585|9,76|9,76|9,76|9,76|9,76|9,76|2440|2440|2440|2440|2440|2440
ЖельдорАльянс|Москва|Лабытнанги|3|2400|31,2|31,2|31,85|32,5|33,8|33,8|6864|6864|7007|7150|7436|7436
ЖельдорАльянс|Москва|Липецк|3|600|10,2|10,2|10,2|10,2|10,2|10,2|2550|2550|2550|2550|2550|2550
ЖельдорАльянс|Москва|Магадан|29|2350|52,82|54,32|55,74|56,61|57,39|58,28|16902|17382|17835|18114|18363|18650
ЖельдорАльянс|Москва|Магадан ( первая ускоренная грузовая)|40|3400|34,37|34,15|33,93|33,71|31,49|31,27|12029,5|11952,5|11875,5|11798,5|11021,5|10944,5
ЖельдорАльянс|Москва|Магнитогорск|4|1010|15,53|15,53|15,53|15,53|15,53|15,53|3883,7|3883,7|3883,7|3883,7|3883,7|3883,7
ЖельдорАльянс|Москва|Махачкала|2|430|9,19|9,43|9,67|10,16|10,16|10,64|2297,1|2357,55|2418|2538,9|2538,9|2659,8
ЖельдорАльянс|Москва|Миасс|3|1073|17,83|17,83|17,83|17,83|17,83|17,83|4459|4459|4459|4459|4459|4459
ЖельдорАльянс|Москва|Мурманск|4|600|16,61|16,88|17,15|17,41|17,66|17,81|4153,33|4220|4286,67|4353,33|4415,83|4453,33
ЖельдорАльянс|Москва|Набережные Челны|2|780|12|12|12|12|12|12|3000|3000|3000|3000|3000|3000
ЖельдорАльянс|Москва|Нерюнгри|8|1300|44,7|44,85|45|45,15|45,3|45,45|9834|9867|9900|9933|9966|9999
ЖельдорАльянс|Москва|Нефтеюганск|5|670|19,34|19,83|20,31|20,55|20,55|21,04|4836|4956,9|5077,8|5138,25|5138,25|5259,15
ЖельдорАльянс|Москва|Нижневартовск|5|670|19,46|19,95|20,43|20,67|20,67|21,16|4866,23|4987,13|5108,03|5168,48|5168,48|5289,38
ЖельдорАльянс|Москва|Нижний Новгород|1|370|8,31|8,43|8,65|8,87|9,08|9,87|2078,03|2106,35|2163|2217,08|2271,15|2466,85
ЖельдорАльянс|Москва|Нижний Тагил|3|600|14,21|14,88|15,16|15,76|16,24|16,51|3340|3498|3562|3704|3815|3880
ЖельдорАльянс|Москва|Новокузнецк|6|480|19,61|20,06|20,85|21,72|22,73|23,28|4902,8|5016,1|5211,8|5430,68|5683,03|5819,5
ЖельдорАльянс|Москва|Новороссийск|3|850|16,45|17|17,54|18,09|18,97|19,62|4112,28|4248,75|4385,23|4521,7|4743,15|4905,38
ЖельдорАльянс|Москва|Новосибирск|5|420|18,51|18,74|18,95|19,85|20,85|20,95|4627,28|4683,93|4738|4962,03|5211,8|5237,55
ЖельдорАльянс|Москва|Новый Уренгой|5|1435|26,25|26,25|26,25|26,25|26,25|26,25|6562,5|6562,5|6562,5|6562,5|6562,5|6562,5
ЖельдорАльянс|Москва|Ноябрьск|6|800|19,46|19,95|20,43|20,67|20,67|21,16|4866,23|4987,13|5108,03|5168,48|5168,48|5289,38
ЖельдорАльянс|Москва|Нягань|7|750|21,74|22,53|22,67|23,02|23,17|23,53|5108|5294|5328|5410|5444|5529
ЖельдорАльянс|Москва|Октябрьский|7|550|14,91|15,03|15,64|16,26|16,51|16,87|3503|3531|3676|3821|3880|3965
ЖельдорАльянс|Москва|Омск|4|480|17,52|17,96|18,29|18,63|19,39|20,51|4380,08|4490,8|4573,2|4658,18|4848,73|5126,83
ЖельдорАльянс|Москва|Орел|2|572|8,36|8,36|8,36|8,36|8,36|8,36|2089,75|2089,75|2089,75|2089,75|2089,75|2089,75
ЖельдорАльянс|Москва|Оренбург|4|650|14,56|14,56|14,56|14,56|14,56|14,56|3640|3640|3640|3640|3640|3640
ЖельдорАльянс|Москва|Орск|3|878|14,73|14,73|14,73|14,73|14,73|14,73|3682,5|3682,5|3682,5|3682,5|3682,5|3682,5
ЖельдорАльянс|Москва|Пенза|2|545|9,76|9,76|9,76|9,76|9,76|9,76|2440,7|2440,7|2440,7|2440,7|2440,7|2440,7
ЖельдорАльянс|Москва|Пермь|2|480|11,98|12,31|12,64|13,08|13,75|14,19|2994,73|3077,13|3159,53|3270,25|3437,63|3548,35
ЖельдорАльянс|Москва|Петровский завод|7|500|27,33|28,37|28,95|29,64|30,22|30,42|5466|5674|5790|5928|6044|6084
ЖельдорАльянс|Москва|Петрозаводск|2|840|12,74|12,74|12,74|12,74|12,74|12,74|3185|3185|3185|3185|3185|3185
ЖельдорАльянс|Москва|Петропавловск-Камчатский|20|3050|50,95|52,42|53,81|54,66|55,41|56,28|16302|16774|17220|17491|17732|18010
ЖельдорАльянс|Москва|Петропавловск-Камчатский ( первая ускоренная грузовая)|30|2990|32,42|32,2|31,98|31,76|29,54|29,32|11347|11270|11193|11116|10339|10262
ЖельдорАльянс|Москва|Печора|2|2400|31,2|31,2|31,85|32,5|33,8|33,8|6864|6864|7007|7150|7436|7436
ЖельдорАльянс|Москва|Псков|2|600|11,31|11,31|11,31|11,31|11,31|11,31|2827,5|2827,5|2827,5|2827,5|2827,5|2827,5
ЖельдорАльянс|Москва|Пыть-Ях|5|500|12,6|13|14,9|15,6|15,8|16|3150|3250|3725|3900|3950|4000
ЖельдорАльянс|Москва|Пятигорск|2|500|10,4|10,64|10,88|11,24|11,24|11,61|2599,35|2659,8|2720,25|2810,93|2810,93|2901,6
ЖельдорАльянс|Москва|Ростов-на-Дону|1|420|11,43|11,65|11,98|12,54|12,85|13,19|2858,25|2912,33|2994,73|3133,78|3213,6|3298,58
ЖельдорАльянс|Москва|Рыбинск|2|682|9,3|9,3|9,3|9,3|9,3|9,3|2325|2325|2325|2325|2325|2325
ЖельдорАльянс|Москва|Рязань|2|470|10,38|10,38|10,38|10,38|10,38|10,38|2596,7|2596,7|2596,7|2596,7|2596,7|2596,7
ЖельдорАльянс|Москва|Салехард|4|3200|55,35|55,35|56|56,65|57,95|57,95|12037|12037|12180|12323|12609|73125,25
ЖельдорАльянс|Москва|Самара|2|778|12,29|12,29|12,29|12,29|12,29|12,29|3071,2|3071,2|3071,2|3071,2|3071,2|3071,2
ЖельдорАльянс|Москва|Санкт-Петербург|1|420|7,37|7,6|7,92|8,26|8,42|8,53|1769,95|1824,34|1900,97|1982,54|2019,62|2046,82
ЖельдорАльянс|Москва|Саранск|2|780|11,5|11,5|11,5|11,5|11,5|11,5|2875|2875|2875|2875|2875|2875
ЖельдорАльянс|Москва|Севастополь|4|420|18,51|19,07|19,39|20,18|20,95|21,61|4627,28|4766,33|4848,73|5044,43|5237,55|5402,35
ЖельдорАльянс|Москва|Симферополь|3|420|12,88|14,21|14,94|15,45|16,07|16,48|3218,75|3553,5|3733,75|3862,5|4017|4120
ЖельдорАльянс|Москва|Смоленск|2|520|9,6|9,6|9,6|9,6|9,6|9,6|2400|2400|2400|2400|2400|2400
ЖельдорАльянс|Москва|Сочи|3|1000|17,42|18,03|18,64|19,25|20,2|20,92|4354,33|4506,25|4660,75|4812,68|5049,58|5229,83
ЖельдорАльянс|Москва|Ставрополь|3|780|12,39|12,39|12,39|12,39|12,39|12,39|3097,2|3097,2|3097,2|3097,2|3097,2|3097,2
ЖельдорАльянс|Москва|Стерлитамак|5|816,4|15|15|15|15|15|15|3750|3750|3750|3750|3750|3750
ЖельдорАльянс|Москва|Сургут|53|1002|20,6|20,6|20,6|20,6|20,6|20,6|5156,2|5156,2|5156,2|5156,2|5156,2|5156,2
ЖельдорАльянс|Москва|Сызрань|3|550|10,4|10,63|10,93|11,39|11,69|12,45|2443|2497|2569|2675|2748|2926
ЖельдорАльянс|Москва|Сыктывкар|3|640|13,79|13,79|13,79|13,79|13,79|13,79|3448|3448|3448|3448|3448|3448
ЖельдорАльянс|Москва|Таганрог|2|600|11,5|11,5|11,5|11,5|11,5|11,5|2875|2875|2875|2875|2875|2875
ЖельдорАльянс|Москва|Тамбов|2|600|10,23|10,23|10,23|10,23|10,23|10,23|2557,5|2557,5|2557,5|2557,5|2557,5|2557,5
ЖельдорАльянс|Москва|Тверь|1|600|9,3|9,3|9,3|9,3|9,3|9,3|2325|2325|2325|2325|2325|2325
ЖельдорАльянс|Москва|Тольятти|2|682|12,4|12,4|12,4|12,4|12,4|12,4|3100|3100|3100|3100|3100|3100
ЖельдорАльянс|Москва|Томмот|14|3150|49,7|49,85|50|50,15|50,3|50,45|10437|10468,5|10500|10531,5|10563|10594,5
ЖельдорАльянс|Москва|Томск|6|480|19,61|20,06|20,85|21,72|22,73|23,28|4902,8|5016,1|5211,8|5430,68|5683,03|5819,5
ЖельдорАльянс|Москва|Тула|2|470|8,68|8,68|8,68|8,68|8,68|8,68|2171|2171|2171|2171|2171|2171
ЖельдорАльянс|Москва|Тында|13|3150|46,58|46,73|46,88|47,03|47,18|47,33|9780,75|9812,25|9843,75|9875,25|9906,75|9938,25
ЖельдорАльянс|Москва|Тюмень|4|807|15,81|15,81|15,81|15,81|15,81|15,81|3953|3953|3953|3953|3953|3953
ЖельдорАльянс|Москва|Улан-Удэ|8|480|26,72|27,05|27,6|28,93|30,05|30,83|6679,55|6761,95|6901|7233,18|7511,28|7706,98
ЖельдорАльянс|Москва|Ульяновск|3|1002|11,96|11,96|11,96|11,96|11,96|11,96|2990|2990|2990|2990|2990|2990
ЖельдорАльянс|Москва|Усинск|3|2400|36,4|36,4|37,05|37,7|39|39|8008|8008|8151|8294|8580|8580
ЖельдорАльянс|Москва|Уссурийск|12|690|38,91|39,03|40,29|41,32|41,91|42,49|9728,35|9756,68|10073,4|10330,9|10477,68|10621,88
ЖельдорАльянс|Москва|Уссурийск ( первая ускоренная грузовая)|18|650|17,27|17,49|19,71|19,93|20,15|20,37|4835,6|4897,2|5518,8|5580,4|5642|5703,6
ЖельдорАльянс|Москва|Уфа|2|420|12,64|12,97|13,19|13,65|14,19|14,85|3159,53|3241,93|3298,58|3411,88|3548,35|3713,15
ЖельдорАльянс|Москва|Ухта|4|2400|31,85|31,85|32,5|33,15|34,45|34,45|7007|7007|7150|7293|7579|7579
ЖельдорАльянс|Москва|Хабаровск|9|690|42|42,29|42,59|42,89|43,19|43,6|10500|10573,5|10647,51|10722,05|10797,1|10900
ЖельдорАльянс|Москва|Хабаровск ( первая ускоренная грузовая)|16|650|13,97|14,3|16,63|16,96|17,29|17,62|3911,6|4004|4656,4|4748,8|4841,2|4933,6
ЖельдорАльянс|Москва|Ханты-Мансийск|6|1000|20,23|20,87|22,08|23,29|24,11|24,88|4754|4904|5188|5472|5666|5847
ЖельдорАльянс|Москва|Хасавюрт|3|430|9,19|9,43|9,67|10,16|10,16|10,64|2297,1|2357,55|2418|2538,9|2538,9|2659,8
ЖельдорАльянс|Москва|Чебоксары|2|560|11,5|11,5|11,5|11,5|11,5|11,5|2875|2875|2875|2875|2875|2875
ЖельдорАльянс|Москва|Челябинск|3|480|13,08|13,41|13,86|14,31|14,97|15,74|3270,25|3352,65|3465,95|3576,68|3741,48|3934,6
ЖельдорАльянс|Москва|Чита|9|690|28,72|29,27|29,82|31,49|32,7|33,6|7179,1|7318,15|7454,63|7871,78|8175,63|8399,65
ЖельдорАльянс|Москва|Энгельс|6|739|12,5|12,5|12,5|12,5|12,5|12,5|3125|3125|3125|3125|3125|3125
ЖельдорАльянс|Москва|Южно-Сахалинск|20|2550|47,82|49,26|50,61|51,41|52,12|52,95|15302|15762|16194|16452|16679|16943
ЖельдорАльянс|Москва|Южно-Сахалинск ( первая ускоренная грузовая)|28|2860|29,17|28,95|28,73|28,51|26,29|26,07|10209,5|10132,5|10055,5|9978,5|9201,5|9124,5
ЖельдорАльянс|Москва|Якутск|15|1300|53,7|53,7|53,7|53,7|53,7|53,7|11277|11277|11277|11277|11277|11277
ЖельдорАльянс|Москва|Ярославль|2|600|9,3|9,3|9,3|9,3|9,3|9,3|2325|2325|2325|2325|2325|2325
