comp|out|in|date|min|0<1/0.02|0<3/0.02|0<5/0.02|0<15/0.05|0<35/0.13|0<35.1/0.14|1<100/1|1<200/1|1<300/1|1<400/1|1<500/1|1<700/1|1<1000/1|1<1500/1|1<2000/1|1<2500/1|1<3000/1|1>3000/1
пэк|Москва|Балаково||0|410|470|510|580|630|640|15,71|15,36|15,12|14,89|14,66|14,49|14,32|14,15|13,98|13,84|13,74|13,66
пэк|Москва|Балахна||0|480|540|560|590|620|630|13,41|13,24|13,12|13,01|12,9|12,82|12,73|12,65|12,57|12,5|12,45|12,41
пэк|Москва|Барнаул||0|500|540|580|670|740|860|24,39|23,74|23,28|22,86|22,44|22,11|21,79|21,47|21,15|20,9|20,71|20,56
пэк|Москва|Батайск||0|460|530|560|630|660|670|15,39|14,85|14,47|14,12|13,77|13,5|13,23|12,97|12,71|12,51|12,35|12,22
пэк|Москва|Белая Калитва||0|580|660|690|770|810|820|16,93|16,28|15,83|15,41|14,99|14,67|14,35|14,03|13,72|13,47|13,28|13,13
пэк|Москва|Белгород||0|410|460|480|540|570|580|11,43|11,15|10,96|10,78|10,6|10,47|10,33|10,19|10,06|9,96|9,87|9,81
пэк|Москва|Березники||0|420|480|520|590|650|660|17,33|16,89|16,58|16,29|16|15,78|15,56|15,35|15,13|14,96|14,83|14,73
пэк|Москва|Бийск||0|500|520|560|680|760|880|25,06|24,45|24,02|23,63|23,23|22,93|22,63|22,33|22,03|21,8|21,62|21,48
пэк|Москва|Благовещенск||0|630|740|750|920|1030|1360|38,49|37,77|37,26|36,79|36,33|35,97|35,61|35,25|34,91|34,63|34,42|34,25
пэк|Москва|Бор||0|460|520|540|580|610|620|11,21|11|10,85|10,71|10,57|10,47|10,36|10,26|10,15|10,07|10,01|9,96
пэк|Москва|Борисоглебск||0|440|470|500|560|610|620|13,5|13,19|12,96|12,76|12,56|12,4|12,24|12,09|11,94|11,82|11,72|11,65
пэк|Москва|Братск||0|510|530|580|730|810|1060|30,11|29,42|28,93|28,48|28,03|27,69|27,34|27|26,67|26,41|26,2|26,04
пэк|Москва|Брянск||0|440|460|480|540|570|580|11,08|10,8|10,61|10,43|10,25|10,12|9,98|9,84|9,71|9,61|9,52|9,46
пэк|Москва|Буденновск||0|470|550|590|690|750|760|21,55|20,89|20,42|20|19,57|19,24|18,91|18,59|18,27|18,02|17,83|17,67
пэк|Москва|Великий Новгород||0|460|520|540|570|590|600|10,3|10,03|9,84|9,66|9,49|9,35|9,22|9,09|8,96|8,85|8,77|8,71
пэк|Москва|Владивосток|15|0|610|750|760|960|1070|1450|40,51|39,23|38,31|37,74|37,54|37,15|36,69|36,11|35,2|35,15|35,07|34,47
пэк|Москва|Владикавказ||0|410|470|500|560|610|620|15,3|14,94|14,69|14,46|14,23|14,06|13,88|13,71|13,53|13,4|13,29|13,21
пэк|Москва|Владимир||0|410|450|470|520|540|550|9,48|9,27|9,12|8,98|8,85|8,74|8,64|8,53|8,43|8,35|8,29|8,24
пэк|Москва|Волгоград||0|410|470|500|560|610|620|13,76|13,44|13,22|13,02|12,81|12,65|12,5|12,34|12,19|12,07|11,97|11,9
пэк|Москва|Волгодонск||0|410|470|500|560|610|620|15,71|15,33|15,05|14,81|14,56|14,37|14,17|13,99|13,8|13,65|13,54|13,45
пэк|Москва|Волжский||0|440|470|500|560|610|620|13,63|13,3|13,06|12,84|12,63|12,46|12,29|12,13|11,97|11,84|11,74|11,66
пэк|Москва|Вологда||0|410|460|480|530|560|570|10,86|10,6|10,42|10,26|10,09|9,96|9,83|9,71|9,58|9,49|9,41|9,35
пэк|Москва|Воронеж||0|410|460|480|530|560|570|10,97|10,71|10,53|10,37|10,2|10,07|9,94|9,82|9,69|9,6|9,52|9,46
пэк|Москва|Воскресенск||0|420|460|480|520|540|550|10,55|10,3|10,13|9,97|9,81|9,68|9,56|9,44|9,32|9,22|9,15|9,09
пэк|Москва|Выборг||0|440|460|480|550|610|620|12,71|12,43|12,24|12,06|11,88|11,75|11,61|11,47|11,34|11,24|11,15|11,09
пэк|Москва|Выкса||0|380|420|440|510|530|540|13|12,63|12,36|12,12|11,88|11,69|11,5|11,32|11,14|11|10,89|10,8
пэк|Москва|Георгиевск||0|460|530|560|630|660|670|15,2|14,92|14,72|14,54|14,36|14,22|14,08|13,95|13,81|13,71|13,63|13,56
пэк|Москва|Грозный||0|530|610|650|730|790|810|20,88|20,39|20,05|19,74|19,42|19,19|18,95|18,71|18,47|18,29|18,14|18,03
пэк|Москва|Губкин||0|550|620|650|700|730|740|13,72|13,4|13,17|12,96|12,75|12,58|12,42|12,26|12,11|11,98|11,89|11,81
пэк|Москва|Дзержинск||0|440|460|480|530|560|570|10,53|10,29|10,12|9,97|9,81|9,69|9,57|9,45|9,34|9,25|9,18|9,12
пэк|Москва|Димитровград||0|410|470|510|580|630|640|14,91|14,6|14,37|14,17|13,97|13,81|13,65|13,5|13,35|13,23|13,13|13,06
пэк|Москва|Дмитров||0|410|450|470|510|530|540|11,17|10,92|10,75|10,59|10,43|10,3|10,18|10,06|9,94|9,84|9,77|9,71
пэк|Москва|Евпатория||0|420|500|540|640|700|810|22,98|22,42|22,02|21,66|21,29|21,01|20,73|20,45|20,18|19,97|19,8|19,67
пэк|Москва|Егорьевск||0|470|520|540|560|570|580|10,24|10,04|9,91|9,78|9,65|9,56|9,46|9,36|9,27|9,19|9,14|9,09
пэк|Москва|Екатеринбург|3|0|450|480|520|590|640|650|15,75|15,39|15,12|14,9|14,66|14,48|14,29|14,12|13,94|13,79|13,69|13,6
пэк|Москва|Ереван||0|890|1100|1310|1520|1730|1940|55|53,72|52,82|52|51,17|50,53|49,89|49,27|48,65|48,17|47,79|47,49
пэк|Москва|Ессентуки||0|460|530|550|610|640|650|14,4|14,14|13,95|13,78|13,61|13,48|13,35|13,22|13,09|12,99|12,91|12,85
пэк|Москва|Железногорск||0|480|550|580|640|670|680|13,52|13,22|13|12,8|12,61|12,45|12,3|12,15|12,01|11,89|11,8|11,73
пэк|Москва|Зеленодольск||0|460|530|560|620|650|660|14,73|14,5|14,33|14,18|14,03|13,91|13,79|13,68|13,56|13,47|13,41|13,35
пэк|Москва|Иваново||0|410|460|470|530|560|570|10,19|9,95|9,78|9,62|9,47|9,35|9,22|9,11|8,99|8,9|8,83|8,77
пэк|Москва|Ижевск||0|410|470|500|560|610|620|13,99|13,67|13,44|13,23|13,02|12,86|12,7|12,54|12,38|12,26|12,17|12,09
пэк|Москва|Иркутск|8|0|470|530|580|730|810|1040|29,57|28,93|28,48|28,06|27,65|27,33|27,01|26,69|26,38|26,14|25,95|25,8
пэк|Москва|Йошкар-Ола||0|410|460|500|550|580|590|13,04|12,73|12,51|12,3|12,1|11,95|11,79|11,64|11,49|11,37|11,27|11,2
пэк|Москва|Казань|2|0|410|460|500|580|640|650|13,07|12,73|12,49|12,27|12,06|11,89|11,72|11,55|11,39|11,26|11,16|11,08
пэк|Москва|Калининград||0|590|650|700|770|840|850|20,24|19,7|19,32|18,96|18,61|18,33|18,06|17,8|17,54|17,34|17,16|17,05
пэк|Москва|Калуга||0|410|460|470|530|560|570|10,15|9,89|9,7|9,53|9,36|9,23|9,1|8,97|8,84|8,74|8,66|8,6
пэк|Москва|Каменск-Уральский||0|420|500|530|620|670|680|18,27|17,86|17,57|17,3|17,03|16,82|16,62|16,42|16,22|16,06|15,94|15,84
пэк|Москва|Каменск-Шахтинский||0|410|470|500|560|610|620|14,82|14,46|14,2|13,97|13,73|13,55|13,37|13,19|13,02|12,88|12,78|12,69
пэк|Москва|Камышин||0|490|560|600|670|730|740|16,51|16,13|15,86|15,62|15,37|15,18|15|14,81|14,63|14,48|14,36|14,28
пэк|Москва|Кемерово||0|500|540|560|670|740|860|24,38|23,79|23,37|22,99|22,61|22,31|22,01|21,72|21,44|21,21|21,04|20,9
пэк|Москва|Керчь||0|430|510|550|650|720|830|23,44|22,87|22,46|22,09|21,72|21,43|21,14|20,86|20,58|20,36|20,2|20,06
пэк|Москва|Кинешма||0|460|520|550|590|620|630|12,42|12,21|12,07|11,94|11,8|11,7|11,6|11,5|11,4|11,32|11,26|11,21
пэк|Москва|Киров||0|410|470|500|560|610|620|13,98|13,72|13,54|13,37|13,2|13,07|12,94|12,81|12,69|12,59|12,51|12,45
пэк|Москва|Кисловодск||0|460|530|560|630|660|670|15,2|14,92|14,72|14,54|14,36|14,22|14,08|13,95|13,81|13,71|13,63|13,56
пэк|Москва|Ковров||0|410|460|480|540|570|580|10,77|10,52|10,35|10,19|10,03|9,91|9,78|9,66|9,54|9,45|9,38|9,32
пэк|Москва|Коломна||0|410|450|470|510|530|540|11,32|11,05|10,87|10,7|10,52|10,39|10,26|10,13|10|9,9|9,82|9,76
пэк|Москва|Комсомольск-на-Амуре||0|630|740|770|910|1020|1330|37,85|37,01|36,42|35,88|35,34|34,92|34,5|34,09|33,68|33,36|33,12|32,92
пэк|Москва|Кореновск||0|450|520|550|630|680|690|16,38|16,02|15,76|15,53|15,29|15,11|14,93|14,75|14,58|14,44|14,34|14,25
пэк|Москва|Кострома||0|410|460|480|530|560|570|10,64|10,4|10,23|10,08|9,92|9,8|9,68|9,56|9,45|9,36|9,29|9,23
пэк|Москва|Краснодар||0|410|470|500|570|620|630|14,89|14,56|14,33|14,11|13,9|13,74|13,57|13,41|13,25|13,12|13,03|12,95
пэк|Москва|Красноярск|7|0|460|520|560|690|770|920|25,97|25,35|24,91|24,5|24,1|23,79|23,47|23,17|22,87|22,63|22,45|22,3
пэк|Москва|Кропоткин||0|460|530|560|640|670|680|16,05|15,78|15,6|15,43|15,25|15,12|14,99|14,86|14,73|14,63|14,55|14,49
пэк|Москва|Крымск||0|470|540|570|640|680|690|16,71|16,43|16,23|16,05|15,87|15,73|15,59|15,45|15,32|15,21|15,13|15,06
пэк|Москва|Кузнецк||0|470|540|560|570|640|650|15,17|14,85|14,63|14,42|14,22|14,06|13,9|13,74|13,59|13,47|13,37|13,3
пэк|Москва|Курган||0|430|500|530|620|670|680|18,96|18,51|18,19|17,9|17,61|17,39|17,16|16,95|16,73|16,56|16,43|16,32
пэк|Москва|Курск||0|410|460|480|540|570|580|11,43|11,15|10,96|10,78|10,6|10,47|10,33|10,19|10,06|9,96|9,87|9,81
пэк|Москва|Лесосибирск||0|580|650|700|860|960|1150|32,46|31,69|31,14|30,63|30,13|29,74|29,34|28,96|28,59|28,29|28,06|27,88
пэк|Москва|Липецк||0|410|460|480|530|560|570|10,75|10,51|10,34|10,19|10,04|9,92|9,8|9,68|9,57|9,48|9,41|9,35
пэк|Москва|Лысьва||0|470|540|560|630|660|670|17,73|17,47|17,29|17,12|16,95|16,83|16,7|16,57|16,45|16,35|16,27|16,21
пэк|Москва|Магадан||0|630|750|850|1070|1200|1880|53,37|52,09|51,19|50,36|49,53|48,9|48,26|47,63|47,02|46,53|46,15|45,85
пэк|Москва|Магнитогорск||0|420|480|520|590|640|650|16,28|15,89|15,61|15,36|15,1|14,91|14,71|14,52|14,33|14,18|14,06|13,97
пэк|Москва|Майкоп||0|420|480|520|590|650|660|17,55|17,13|16,83|16,55|16,28|16,07|15,86|15,65|15,45|15,28|15,16|15,06
пэк|Москва|Миасс||0|430|500|530|620|670|680|18,01|17,62|17,34|17,09|16,84|16,64|16,45|16,26|16,07|15,92|15,8|15,71
пэк|Москва|Минск||0|490|510|540|560|620|700|16,11|15,01|14,23|13,52|12,81|11,71|11,52|11,17|10,64|10,22|9,9|9,64
пэк|Москва|Михайловка||0|450|520|550|620|670|680|17,2|16,8|16,53|16,28|16,01|15,81|15,63|15,43|15,24|15,09|14,96|14,88
пэк|Москва|Москва (ЦКАД)||0|460|510|530|550|560|570|7,91|7,74|7,62|7,51|7,39|7,31|7,22|7,14|7,06|6,99|6,94|6,9
пэк|Москва|Мурманск||0|420|480|520|590|640|650|16,39|16|15,73|15,48|15,23|15,04|14,85|14,66|14,47|14,32|14,21|14,12
пэк|Москва|Муром||0|410|460|480|550|580|590|11,3|11,05|10,87|10,71|10,55|10,42|10,29|10,17|10,05|9,95|9,88|9,82
пэк|Москва|Набережные Челны||0|460|520|540|590|620|630|12,24|11,95|11,74|11,55|11,36|11,21|11,06|10,92|10,78|10,67|10,58|10,51
пэк|Москва|Нальчик||0|420|480|510|580|630|640|15,28|14,93|14,69|14,46|14,24|14,07|13,89|13,72|13,56|13,42|13,32|13,24
пэк|Москва|Находка||0|690|820|920|1140|1270|1680|43,99|43,07|42,42|41,81|41,22|40,77|40,31|39,85|39,4|39,05|38,78|38,57
пэк|Москва|Невинномысск||0|410|470|500|560|610|620|14,41|14,06|13,81|13,58|13,35|13,17|13|12,82|12,65|12,52|12,41|12,33
пэк|Москва|Нефтекамск||0|440|500|530|560|590|610|13,13|12,84|12,63|12,45|12,26|12,11|11,97|11,83|11,69|11,57|11,49|11,42
пэк|Москва|Нефтеюганск||0|480|570|620|730|790|960|27,09|26,67|26,37|26,1|25,83|25,61|25,4|25,2|24,99|24,83|24,71|24,61
пэк|Москва|Нижневартовск||0|460|540|550|670|740|890|25,08|24,48|24,05|23,66|23,27|22,97|22,67|22,37|22,08|21,85|21,67|21,53
пэк|Москва|Нижнекамск||0|440|460|500|550|580|590|12,56|12,29|12,1|11,92|11,75|11,61|11,48|11,35|11,22|11,11|11,03|10,97
пэк|Москва|Нижний Новгород|1|0|460|520|540|570|590|600|10,63|10,39|10,21|10,05|9,9|9,77|9,65|9,53|9,41|9,32|9,25|9,19
пэк|Москва|Нижний Тагил||0|470|540|570|650|680|690|17,15|16,75|16,46|16,2|15,94|15,74|15,54|15,34|15,15|14,99|14,87|14,78
пэк|Москва|Новокузнецк||0|460|510|550|670|740|840|23,79|23,22|22,82|22,45|22,08|21,8|21,51|21,23|20,96|20,74|20,57|20,44
пэк|Москва|Новороссийск||0|420|470|510|570|620|630|14,43|14,12|13,9|13,7|13,5|13,34|13,19|13,03|12,88|12,76|12,67|12,6
пэк|Москва|Новосибирск|5|0|500|510|550|650|720|780|22,06|21,59|21,27|20,96|20,66|20,43|20,2|19,97|19,74|19,57|19,43|19,32
пэк|Москва|Новочебоксарск||0|410|470|500|560|610|620|12,68|12,41|12,22|12,05|11,87|11,74|11,61|11,47|11,34|11,24|11,16|11,1
пэк|Москва|Новочеркасск||0|410|470|500|560|610|620|16,02|15,65|15,39|15,16|14,92|14,73|14,55|14,37|14,19|14,05|13,95|13,86
пэк|Москва|Ноябрьск||0|450|560|570|690|760|890|25,08|24,5|24,09|23,71|23,33|23,04|22,75|22,46|22,18|21,96|21,79|21,65
пэк|Москва|Нур-Султан||0|540|650|710|820|910|980|25,82|25,07|24,54|24,05|23,57|23,19|22,82|22,45|22,09|21,8|21,58|21,4
пэк|Москва|Обнинск||0|410|450|460|510|530|540|9,13|8,94|8,81|8,69|8,57|8,48|8,38|8,29|8,2|8,13|8,07|8,03
пэк|Москва|Октябрьский||0|350|400|430|480|520|530|13,25|12,94|12,73|12,52|12,33|12,18|12,02|11,87|11,73|11,61|11,52|11,45
пэк|Москва|Омск|4|0|460|510|540|640|700|760|21,58|21,05|20,68|20,34|20|19,74|19,48|19,22|18,97|18,77|18,61|18,49
пэк|Москва|Орел||0|410|460|480|530|560|570|10,73|10,49|10,32|10,16|10,01|9,89|9,76|9,65|9,53|9,44|9,37|9,31
пэк|Москва|Оренбург||0|410|470|500|570|620|630|14,64|14,31|14,08|13,87|13,66|13,49|13,33|13,17|13,01|12,88|12,79|12,71
пэк|Москва|Орехово-Зуево||0|410|450|470|510|530|540|10,52|10,27|10,1|9,94|9,78|9,65|9,53|9,41|9,29|9,19|9,12|9,06
пэк|Москва|Орск||0|440|510|540|620|660|670|16,74|16,38|16,12|15,89|15,65|15,47|15,29|15,11|14,94|14,8|14,7|14,61
пэк|Москва|Пенза||0|410|460|480|540|570|580|11,55|11,29|11,11|10,95|10,78|10,65|10,52|10,4|10,27|10,18|10,1|10,04
пэк|Москва|Первоуральск||0|540|580|620|720|770|780|19,89|19,43|19,1|18,81|18,51|18,28|18,05|17,82|17,6|17,42|17,29|17,18
пэк|Москва|Пермь||0|410|470|500|570|620|630|14,86|14,51|14,27|14,04|13,82|13,65|13,47|13,3|13,14|13|12,9|12,82
пэк|Москва|Петрозаводск||0|410|460|480|550|580|590|12,11|11,82|11,62|11,43|11,25|11,1|10,96|10,82|10,68|10,57|10,49|10,42
пэк|Москва|Петропавловск-Камчатский||0|630|760|850|1070|1200|1790|50,93|49,36|48,25|47,23|46,21|45,43|44,64|43,87|43,11|42,51|42,05|41,68
пэк|Москва|Прокопьевск||0|430|520|570|690|770|820|21,45|20,96|20,62|20,31|19,99|19,75|19,51|19,27|19,03|18,85|18,7|18,59
пэк|Москва|Псков||0|440|460|480|550|580|600|12,58|12,27|12,05|11,84|11,64|11,49|11,33|11,18|11,03|10,91|10,81|10,74
пэк|Москва|Пятигорск||0|410|460|500|550|580|600|13,81|13,5|13,27|13,07|12,87|12,71|12,55|12,4|12,25|12,13|12,03|11,96
пэк|Москва|Россошь||0|470|570|580|620|630|640|14,44|14,14|13,93|13,74|13,55|13,4|13,25|13,1|12,96|12,85|12,76|12,69
пэк|Москва|Ростов-на-Дону||0|410|470|500|560|610|620|14,16|13,79|13,54|13,3|13,06|12,88|12,7|12,52|12,34|12,2|12,1|12,01
пэк|Москва|Рубцовск||0|430|520|570|690|770|910|25,74|25,08|24,62|24,2|23,77|23,44|23,12|22,79|22,48|22,23|22,03|21,88
пэк|Москва|Рыбинск||0|410|460|480|530|560|570|10,81|10,54|10,35|10,18|10,01|9,88|9,74|9,61|9,48|9,38|9,3|9,24
пэк|Москва|Рязань||0|410|460|480|530|560|570|10,75|10,51|10,34|10,19|10,04|9,92|9,8|9,68|9,57|9,48|9,41|9,35
пэк|Москва|Самара||0|410|470|500|560|610|620|13,9|13,56|13,32|13,1|12,88|12,71|12,54|12,37|12,21|12,08|11,98|11,9
пэк|Москва|Санкт-Петербург|1|0|410|460|470|530|560|570|9,85|9,62|9,45|9,3|9,15|9,03|8,92|8,8|8,69|8,6|8,53|8,48
пэк|Москва|Саранск||0|410|460|480|550|580|590|12|11,71|11,51|11,32|11,13|10,99|10,84|10,7|10,56|10,45|10,37|10,3
пэк|Москва|Саратов||0|410|460|480|550|580|590|13,2|12,89|12,67|12,46|12,26|12,11|11,95|11,8|11,65|11,53|11,43|11,36
пэк|Москва|Севастополь||0|420|500|540|640|700|800|22,53|21,98|21,59|21,23|20,87|20,6|20,32|20,05|19,78|19,57|19,41|19,28
пэк|Москва|Северодвинск||0|410|470|510|580|630|640|15,87|15,49|15,23|14,99|14,74|14,56|14,37|14,18|14|13,86|13,75|13,66
пэк|Москва|Сергиев Посад||0|460|510|520|550|560|570|10,45|10,22|10,06|9,91|9,76|9,65|9,53|9,42|9,31|9,22|9,15|9,1
пэк|Москва|Серпухов||0|410|450|470|510|530|540|11,32|11,05|10,87|10,7|10,52|10,39|10,26|10,13|10|9,9|9,82|9,76
пэк|Москва|Симферополь||0|420|500|540|640|700|810|22,98|22,42|22,02|21,66|21,29|21,01|20,73|20,45|20,18|19,97|19,8|19,67
пэк|Москва|Славянск-на-Кубани||0|470|540|570|640|680|690|16,71|16,43|16,23|16,05|15,87|15,73|15,59|15,45|15,32|15,21|15,13|15,06
пэк|Москва|Смоленск||0|410|460|480|530|560|570|10,97|10,71|10,53|10,37|10,2|10,07|9,94|9,82|9,69|9,6|9,52|9,46
пэк|Москва|Сочи||0|480|570|610|710|790|800|20,85|20,39|20,06|19,76|19,46|19,23|18,99|18,76|18,53|18,35|18,22|18,11
пэк|Москва|Ставрополь||0|410|470|500|570|620|630|14,82|14,48|14,25|14,03|13,81|13,64|13,47|13,31|13,15|13,02|12,92|12,84
пэк|Москва|Старый Оскол||0|460|520|540|580|610|620|11,43|11,16|10,97|10,8|10,62|10,49|10,36|10,22|10,09|9,99|9,91|9,85
пэк|Москва|Стерлитамак||0|410|470|510|580|630|640|16,06|15,67|15,39|15,13|14,88|14,68|14,48|14,29|14,1|13,95|13,83|13,74
пэк|Москва|Сургут||0|500|540|550|660|730|840|23,89|23,35|22,97|22,62|22,27|22|21,73|21,47|21,21|21,01|20,85|20,72
пэк|Москва|Сызрань||0|410|460|480|550|580|590|12,34|12,07|11,88|11,7|11,52|11,39|11,25|11,12|10,99|10,88|10,8|10,74
пэк|Москва|Сыктывкар||0|410|470|510|570|620|630|15,25|14,88|14,61|14,37|14,13|13,95|13,76|13,58|13,4|13,26|13,15|13,06
пэк|Москва|Таганрог||0|410|460|500|550|580|590|13,41|13,1|12,88|12,68|12,48|12,33|12,17|12,02|11,87|11,75|11,66|11,59
пэк|Москва|Тамбов||0|410|460|480|530|560|570|10,97|10,73|10,56|10,4|10,24|10,12|10|9,88|9,76|9,67|9,6|9,54
пэк|Москва|Тара||0|650|700|760|890|990|1070|30,22|29,48|28,96|28,48|28,01|27,64|27,27|26,91|26,55|26,27|26,05|25,88
пэк|Москва|Тверь||0|410|460|480|530|560|570|10,3|10,06|9,89|9,74|9,58|9,46|9,34|9,22|9,11|9,02|8,95|8,89
пэк|Москва|Тольятти||0|410|460|500|550|580|590|13,17|12,87|12,66|12,47|12,28|12,13|11,98|11,83|11,69|11,58|11,49|11,42
пэк|Москва|Томск||0|460|540|550|670|740|850|24,15|23,56|23,14|22,76|22,38|22,09|21,79|21,5|21,22|20,99|20,82|20,68
пэк|Москва|Туапсе||0|440|520|560|670|740|750|17,85|17,39|17,07|16,77|16,47|16,24|16,01|15,79|15,57|15,39|15,26|15,15
пэк|Москва|Тула||0|410|460|470|530|560|570|9,92|9,69|9,53|9,39|9,24|9,13|9,02|8,91|8,8|8,71|8,64|8,59
пэк|Москва|Тюмень||0|460|500|530|610|660|670|17,68|17,27|16,97|16,7|16,44|16,23|16,02|15,82|15,62|15,46|15,34|15,24
пэк|Москва|Углич||0|510|580|610|660|700|710|13,52|13,19|12,95|12,73|12,52|12,35|12,18|12,02|11,86|11,73|11,63|11,55
пэк|Москва|Улан-Удэ||0|530|580|650|800|890|1140|32,25|31,5|30,97|30,49|30|29,63|29,25|28,89|28,52|28,24|28,02|27,84
пэк|Москва|Ульяновск||0|410|460|480|550|580|590|12|11,71|11,51|11,32|11,13|10,99|10,84|10,7|10,56|10,45|10,37|10,3
пэк|Москва|Урюпинск||0|580|660|690|770|810|820|16,05|15,51|15,14|14,79|14,44|14,18|13,91|13,65|13,39|13,18|13,03|12,9
пэк|Москва|Уссурийск||0|610|750|790|970|1090|1430|39,43|38,99|38,1|37,77|37,33|36,88|36,44|36,01|35,57|35,12|34,68|33,7
пэк|Москва|Уфа||0|410|470|510|570|620|630|15,66|15,28|15,01|14,77|14,52|14,33|14,14|13,96|13,78|13,63|13,52|13,43
пэк|Москва|Ухта||0|320|370|400|440|480|490|10,5|10,23|10,04|9,86|9,68|9,55|9,41|9,28|9,15|9,04|8,96|8,9
пэк|Москва|Феодосия||0|420|510|550|670|750|820|23,12|22,62|22,26|21,94|21,61|21,36|21,11|20,86|20,62|20,43|20,28|20,16
пэк|Москва|Хабаровск||0|620|700|770|940|1050|1430|39,73|38,43|37,54|36,98|36,76|36,31|35,85|35,4|34,84|34,17|34,02|33,72
пэк|Москва|Чебоксары||0|410|460|480|550|580|590|12,84|12,5|12,26|12,04|11,82|11,65|11,48|11,31|11,15|11,02|10,92|10,84
пэк|Москва|Челябинск|3|0|450|480|520|590|640|650|15,97|15,58|15,3|15,04|14,79|14,59|14,39|14,2|14,01|13,86|13,74|13,65
пэк|Москва|Череповец||0|410|460|480|540|570|580|11,09|10,85|10,69|10,53|10,38|10,26|10,14|10,03|9,92|9,83|9,76|9,7
пэк|Москва|Чита||0|530|590|660|830|920|1230|34,77|33,97|33,4|32,88|32,36|31,96|31,56|31,17|30,78|30,47|30,24|30,05
пэк|Москва|Шахты||0|410|460|480|540|570|580|11,53|11,24|11,03|10,84|10,65|10,51|10,36|10,22|10,08|9,96|9,88|9,81
пэк|Москва|Шебекино||0|480|550|580|650|680|690|13,1|12,78|12,56|12,36|12,15|11,99|11,84|11,68|11,53|11,41|11,31|11,24
пэк|Москва|Электросталь||0|460|510|530|550|560|570|7,91|7,74|7,62|7,51|7,39|7,31|7,22|7,14|7,06|6,99|6,94|6,9
пэк|Москва|Элиста||0|450|520|550|620|670|690|17,89|17,47|17,19|16,93|16,65|16,45|16,25|16,04|15,85|15,69|15,56|15,47
пэк|Москва|Энгельс||0|410|470|500|560|610|620|13,86|13,57|13,36|13,17|12,98|12,83|12,68|12,54|12,4|12,29|12,2|12,13
пэк|Москва|Южно-Сахалинск||0|560|670|760|960|1080|1280|34,49|33,72|33,18|32,68|32,18|31,79|31,41|31,03|30,66|30,37|30,14|29,96
пэк|Москва|Якутск||0|740|1010|1120|1500|1910|2320|66,03|64,51|63,43|62,44|61,46|60,69|59,93|59,19|58,45|57,87|57,42|57,06
пэк|Москва|Ялта||0|420|510|550|670|750|840|23,72|23,2|22,84|22,5|22,17|21,91|21,65|21,4|21,15|20,95|20,8|20,68
пэк|Москва|Ярославль||0|410|460|470|530|560|570|10,15|9,89|9,7|9,53|9,36|9,23|9,1|8,97|8,84|8,74|8,66|8,6
